seed,model_kind,node_index,mean_abs_activity
2,random,149,1.6153780221939087
2,random,150,1.1611897945404053
2,random,151,6.367027759552002
2,random,152,6.177954196929932
2,random,153,1.9693832397460938
2,random,154,0.4430880844593048
2,random,155,1.0034085512161255
2,random,156,1.813265085220337
2,random,157,0.9185817241668701
2,random,158,0.7603667974472046
2,random,159,0.4966319799423218
2,random,160,1.9101793766021729
2,random,161,1.6281685829162598
2,random,162,0.8318988680839539
2,random,163,2.665097951889038
2,random,164,1.498673915863037
2,random,165,1.5231579542160034
2,random,166,1.228537917137146
2,random,167,1.6061079502105713
2,random,168,3.9564740657806396
2,random,169,0.44034674763679504
2,random,170,4.507260799407959
2,random,171,4.134181976318359
2,random,172,1.8852510452270508
2,random,173,1.6975152492523193
2,random,174,1.0393539667129517
2,random,175,0.7233762741088867
2,random,176,1.7168980836868286
2,random,177,0.36461853981018066
2,random,178,2.4461333751678467
2,random,179,4.826937675476074
2,random,180,1.8100491762161255
2,random,181,0.7223952412605286
2,random,182,2.1741230487823486
2,random,183,2.7600135803222656
2,random,184,1.4536325931549072
2,random,185,1.3384904861450195
2,random,186,2.658327102661133
2,random,187,1.4725326299667358
2,random,188,1.174052119255066
2,random,189,0.44505807757377625
2,random,190,1.0294536352157593
2,random,191,1.2592175006866455
2,random,192,1.0687991380691528
2,random,193,2.778045415878296
2,random,194,1.1838793754577637
2,random,195,3.061450481414795
2,random,196,0.594327449798584
2,random,197,1.1602317094802856
2,random,198,1.1776630878448486
2,random,199,2.7319676876068115
2,random,200,1.208869457244873
2,random,201,1.536353349685669
2,random,202,1.2175848484039307
2,random,203,2.245323657989502
2,random,204,1.7028932571411133
2,random,205,0.9102007746696472
2,random,206,0.6221025586128235
2,random,207,2.2585160732269287
2,random,208,0.6244061589241028
2,random,209,1.2540061473846436
2,random,210,3.506520986557007
2,random,211,1.1838874816894531
2,random,212,0.9074130654335022
2,random,213,1.5239301919937134
2,random,214,1.4354186058044434
2,random,215,8.132048606872559
2,random,216,0.8599862456321716
2,random,217,1.360085129737854
2,random,218,1.702432632446289
2,random,219,0.554799497127533
2,random,220,0.11578446626663208
2,random,221,0.09551367908716202
2,random,222,0.30273061990737915
2,random,223,0.9682711958885193
2,random,224,1.271909475326538
2,random,225,2.064992666244507
2,random,226,1.249128818511963
2,random,227,0.2510291039943695
2,random,228,0.47130128741264343
2,random,229,2.462867021560669
2,random,230,0.9383421540260315
2,random,231,1.855221152305603
2,random,232,2.2081470489501953
2,random,233,1.2468653917312622
2,random,234,0.955223560333252
2,random,235,2.0923917293548584
2,random,236,1.769688606262207
2,random,237,1.5148578882217407
2,random,238,1.1195576190948486
2,random,239,3.830244541168213
2,random,240,2.2965407371520996
2,random,241,0.6074995994567871
2,random,242,0.20513466000556946
2,random,243,0.639028787612915
2,random,244,0.8345021605491638
2,random,245,4.660649299621582
2,random,246,3.794543743133545
2,random,247,2.4137251377105713
2,random,248,1.9110660552978516
2,random,249,1.924813151359558
2,random,250,4.454589366912842
2,random,251,0.9336472153663635
2,random,252,0.7219429612159729
2,random,253,3.574162483215332
2,random,254,3.360370397567749
2,random,255,0.7743325233459473
2,random,256,1.0875461101531982
2,random,257,1.5269516706466675
2,random,258,0.7121511101722717
2,random,259,2.1680681705474854
2,random,260,2.155456304550171
2,random,261,0.8875824809074402
2,random,262,1.605649471282959
2,random,263,0.9860311150550842
2,random,264,0.19530552625656128
2,random,265,0.5581475496292114
2,random,266,1.730167031288147
2,random,267,0.8263498544692993
2,random,268,4.804701805114746
2,random,269,0.1736544668674469
2,random,270,0.8817098736763
2,random,271,3.8912370204925537
2,random,272,0.784733235836029
2,random,273,1.8221732378005981
2,random,274,1.4222743511199951
2,random,275,0.7652660608291626
2,random,276,0.8497052788734436
2,random,277,1.5761022567749023
2,random,278,0.9003931283950806
2,random,279,2.5743751525878906
2,random,280,0.8515099883079529
2,random,281,5.1331634521484375
2,random,282,0.38236767053604126
2,random,283,0.2734357416629791
2,random,284,3.228290319442749
2,random,285,0.8354311585426331
2,random,286,6.506104469299316
2,random,287,0.9380611777305603
2,random,288,2.7916109561920166
2,random,289,2.1527857780456543
2,random,290,0.7410153746604919
2,random,291,3.0154924392700195
2,random,292,0.8991833925247192
2,random,293,1.3280402421951294
2,random,294,0.3997144401073456
2,random,295,0.21289512515068054
2,random,296,1.519456386566162
2,random,297,0.5233977437019348
2,random,298,4.185888290405273
2,random,299,0.6314232349395752
2,random,300,1.4763044118881226
2,random,301,0.47150540351867676
2,random,302,1.046147108078003
2,random,303,2.87398099899292
